"Division";"Region_Name";"Branch_Name";"Agent_Name";"Branch_ID";"ID";"Length_Service_Category";"unqid"
"UK Insurance";"North";"Leeds";"Mr M Pope";12.0;255.0;"3";87.0
"UK Insurance";"North";"Leeds";"Mr Q James";12.0;460.0;"0";89.0
"UK Insurance";"North";"Leeds";"Mr Q James";12.0;460.0;"0";90.0
"UK Insurance";"North";"Leeds";"Mr Q James";12.0;460.0;"0";91.0
"UK Insurance";"North";"Leeds";"Mr R Roddick";12.0;244.0;"0";92.0
"UK Insurance";"North";"Leeds";"Mrs H Chik";12.0;79.0;"0";94.0
"UK Insurance";"North";"Liverpool";"Mr M Carimando";14.0;209.0;"5+";98.0
"UK Insurance";"North";"Liverpool";"Mr M McKee";14.0;226.0;"5+";99.0
"UK Insurance";"North";"Liverpool";"Mr R Cotterill";14.0;218.0;"1";102.0
"UK Insurance";"North";"Liverpool";"Mrs A Ford";14.0;114.0;"5+";104.0
"UK Insurance";"North";"Liverpool";"Mrs N Thompson";14.0;228.0;"5+";105.0
"UK Insurance";"North";"Manchester";"Mr B Chik";16.0;280.0;"3";108.0
"UK Insurance";"North";"Manchester";"Mr B Chik";16.0;280.0;"3";109.0
"UK Insurance";"North";"Manchester";"Mr B White";16.0;432.0;"5+";111.0
"UK Insurance";"North";"Manchester";"Mr B White";16.0;432.0;"5+";112.0
"UK Insurance";"North";"Manchester";"Mr B White";16.0;432.0;"5+";113.0
"UK Insurance";"North";"Manchester";"Mr H Mistry";16.0;356.0;"2";114.0
"UK Insurance";"North";"Manchester";"Mr H Mistry";16.0;356.0;"2";115.0
"UK Insurance";"North";"Manchester";"Mr K McKee";16.0;420.0;"5+";117.0
"UK Insurance";"North";"Manchester";"Mr L Lunn";16.0;455.0;"1";118.0
"UK Insurance";"North";"Manchester";"Mr L Lunn";16.0;455.0;"1";119.0
"UK Insurance";"North";"Manchester";"Mr L Mistry";16.0;110.0;"3";120.0
"UK Insurance";"North";"Manchester";"Mr M Hearmon";16.0;316.0;"2";121.0
